Genes,Trait
5805,Animal
5324,Animal
4721,Animal
6379,Animal
4246,Animal
4291,Animal
4001,Animal
4288,Animal
3821,Animal
5845,Animal
5965,Animal
5383,Animal
5834,Animal
5845,Animal
5388,Animal
5539,Animal
5567,Animal
6555,Animal
5600,Animal
5884,Animal
4355,Animal
4933,Animal
5255,Animal
5237,Animal
5047,Animal
4923,Animal
4932,Animal
6560,Animal
6018,Animal
4225,Animal
6270,Animal
5521,Animal
6555,Animal
5746,Animal
5919,Animal
5841,Animal
5880,Animal
5975,Animal
5675,Animal
5721,Animal
5768,Animal
5839,Animal
5774,Animal
5789,Animal
5736,Animal
5755,Animal
5732,Animal
5852,Animal
5739,Animal
5986,Animal
6171,Animal
5722,Animal
5932,Animal
5888,Animal
5932,Animal
5955,Animal
5763,Animal
6296,Animal
6281,Animal
6409,Animal
6487,Animal
6919,Animal
5945,Animal
6058,Animal
5980,Animal
6014,Animal
6155,Animal
5949,Animal
6438,Animal
5941,Animal
5921,Animal
6004,Animal
6205,Animal
5780,Animal
5922,Animal
5775,Animal
6231,Animal
6324,Animal
5825,Animal
6020,Animal
6285,Animal
5626,Animal
5626,Animal
5759,Animal
6034,Animal
5694,Animal
5878,Animal
5796,Animal
5954,Animal
6028,Animal
6372,Animal
6019,Animal
5839,Animal
6017,Animal
6121,Animal
6052,Animal
6200,Animal
6076,Animal
5955,Animal
6314,Animal
5852,Animal
6314,Animal
6281,Animal
6649,Animal
6272,Animal
5879,Animal
5905,Animal
5679,Animal
5974,Animal
5993,Animal
5886,Animal
5948,Animal
5868,Animal
5860,Animal
5877,Animal
5899,Animal
6041,Animal
6039,Animal
6007,Animal
5982,Animal
6441,Animal
5953,Animal
6095,Animal
6032,Animal
6098,Animal
5976,Animal
5902,Animal
5784,Animal
5491,Animal
5828,Animal
5493,Animal
4453,Animal
5302,Animal
6058,Animal
4529,Animal
5333,Animal
4496,Animal
5402,Animal
5426,Animal
5697,Animal
4645,Animal
4612,Animal
6114,Animal
5333,Animal
6058,Animal
3921,Animal
4141,Animal
3844,Animal
4171,Animal
5483,Animal
6335,Animal
4524,Animal
5805,Animal
5221,Animal
5402,Animal
5464,Animal
5465,Animal
5464,Animal
5853,Animal
5463,Animal
5455,Animal
5465,Animal
5127,Animal
5685,Animal
5684,Animal
6208,Animal
6201,Animal
5077,Animal
5766,Animal
5034,Animal
5474,Animal
4737,Animal
5695,Animal
5624,Animal
5467,Animal
5222,Animal
5487,Animal
5685,Animal
5687,Animal
5058,Animal
5050,Animal
5765,Animal
5810,Animal
5722,Animal
5643,Animal
6067,Animal
6002,Host_Associated
4202,Host_Associated
6780,Host_Associated
6022,Host_Associated
5890,Host_Associated
3464,Host_Associated
5318,Host_Associated
5242,Host_Associated
6170,Host_Associated
3463,Host_Associated
5152,Host_Associated
6248,Host_Associated
6079,Host_Associated
5088,Host_Associated
5259,Host_Associated
5811,Host_Associated
4835,Host_Associated
4897,Host_Associated
4830,Host_Associated
4991,Host_Associated
4963,Host_Associated
5176,Host_Associated
5083,Host_Associated
3969,Host_Associated
6558,Host_Associated
5715,Host_Associated
5722,Host_Associated
5702,Host_Associated
6548,Host_Associated
6021,Host_Associated
6320,Host_Associated
6487,Host_Associated
5904,Host_Associated
6947,Host_Associated
6635,Host_Associated
6496,Host_Associated
5928,Host_Associated
5922,Host_Associated
5934,Host_Associated
6550,Host_Associated
6210,Host_Associated
6021,Host_Associated
6392,Host_Associated
6335,Host_Associated
5779,Host_Associated
6955,Host_Associated
5741,Host_Associated
6072,Host_Associated
6313,Host_Associated
5914,Host_Associated
5911,Host_Associated
6258,Host_Associated
5827,Host_Associated
5821,Host_Associated
5764,Host_Associated
6020,Host_Associated
5794,Host_Associated
6523,Host_Associated
5562,Host_Associated
6048,Host_Associated
6053,Host_Associated
6282,Host_Associated
6251,Host_Associated
5759,Host_Associated
5938,Host_Associated
5634,Host_Associated
5707,Host_Associated
5799,Host_Associated
5645,Host_Associated
5311,Host_Associated
6218,Host_Associated
5729,Host_Associated
5962,Host_Associated
5774,Host_Associated
5555,Host_Associated
5737,Host_Associated
5730,Host_Associated
5748,Host_Associated
5752,Host_Associated
5999,Host_Associated
5690,Host_Associated
6200,Host_Associated
6163,Host_Associated
6336,Host_Associated
5882,Host_Associated
6033,Host_Associated
5804,Host_Associated
6171,Host_Associated
5887,Host_Associated
6328,Host_Associated
6337,Host_Associated
5704,Host_Associated
6194,Host_Associated
6136,Host_Associated
6534,Host_Associated
6598,Host_Associated
6281,Host_Associated
6106,Host_Associated
6131,Host_Associated
6072,Host_Associated
5911,Host_Associated
6377,Host_Associated
6382,Host_Associated
6157,Host_Associated
6318,Host_Associated
5781,Host_Associated
5830,Host_Associated
6379,Host_Associated
5878,Host_Associated
6316,Host_Associated
6092,Host_Associated
6337,Host_Associated
5774,Host_Associated
5790,Host_Associated
5721,Host_Associated
6099,Host_Associated
6308,Host_Associated
6272,Host_Associated
5800,Host_Associated
6303,Host_Associated
6014,Host_Associated
5706,Host_Associated
5705,Host_Associated
5732,Host_Associated
5729,Host_Associated
5837,Host_Associated
5677,Host_Associated
5891,Host_Associated
6256,Host_Associated
6242,Host_Associated
6436,Host_Associated
6430,Host_Associated
6687,Host_Associated
5651,Host_Associated
6212,Host_Associated
6391,Host_Associated
5975,Host_Associated
5668,Host_Associated
5759,Host_Associated
6439,Host_Associated
6341,Host_Associated
6300,Host_Associated
6516,Host_Associated
6471,Host_Associated
6320,Host_Associated
6597,Host_Associated
6493,Host_Associated
5957,Host_Associated
6171,Host_Associated
5827,Host_Associated
6232,Host_Associated
6127,Host_Associated
6311,Host_Associated
6252,Host_Associated
6247,Host_Associated
6538,Host_Associated
6018,Host_Associated
5848,Host_Associated
5882,Host_Associated
5972,Host_Associated
5801,Host_Associated
6025,Host_Associated
6250,Host_Associated
6283,Host_Associated
6285,Host_Associated
5310,Host_Associated
6078,Host_Associated
6122,Host_Associated
6565,Host_Associated
6118,Host_Associated
6134,Host_Associated
6025,Host_Associated
6342,Host_Associated
6384,Host_Associated
6458,Host_Associated
6502,Host_Associated
6378,Host_Associated
6243,Host_Associated
6474,Host_Associated
5833,Host_Associated
6444,Host_Associated
5490,Host_Associated
6050,Host_Associated
5881,Host_Associated
6257,Host_Associated
5750,Host_Associated
5762,Host_Associated
6256,Host_Associated
5670,Host_Associated
6169,Host_Associated
6382,Host_Associated
6283,Host_Associated
5660,Host_Associated
6402,Host_Associated
6357,Host_Associated
6443,Host_Associated
5899,Host_Associated
6193,Host_Associated
6202,Host_Associated
6297,Host_Associated
5714,Host_Associated
6394,Host_Associated
5798,Host_Associated
6517,Host_Associated
6394,Host_Associated
5934,Host_Associated
5921,Host_Associated
5827,Host_Associated
5962,Host_Associated
6341,Host_Associated
6113,Host_Associated
5845,Host_Associated
6008,Host_Associated
5798,Host_Associated
6405,Host_Associated
6240,Host_Associated
5762,Host_Associated
5770,Host_Associated
5798,Host_Associated
5788,Host_Associated
6492,Host_Associated
6498,Host_Associated
6495,Host_Associated
5966,Host_Associated
5971,Host_Associated
6179,Host_Associated
6123,Host_Associated
5965,Host_Associated
5807,Host_Associated
6338,Host_Associated
5765,Host_Associated
6155,Host_Associated
6259,Host_Associated
6284,Host_Associated
6352,Host_Associated
5918,Host_Associated
6112,Host_Associated
6294,Host_Associated
6144,Host_Associated
6155,Host_Associated
6590,Host_Associated
5703,Host_Associated
5738,Host_Associated
5832,Host_Associated
6570,Host_Associated
6655,Host_Associated
6672,Host_Associated
5677,Host_Associated
5675,Host_Associated
5839,Host_Associated
5873,Host_Associated
5908,Host_Associated
5678,Host_Associated
6265,Host_Associated
5993,Host_Associated
5764,Host_Associated
6031,Host_Associated
6067,Host_Associated
5591,Host_Associated
5853,Host_Associated
5978,Host_Associated
5776,Host_Associated
5844,Host_Associated
5849,Host_Associated
5726,Host_Associated
6224,Host_Associated
6228,Host_Associated
5806,Host_Associated
5938,Host_Associated
5810,Host_Associated
6458,Host_Associated
6108,Host_Associated
6104,Host_Associated
6826,Host_Associated
6085,Host_Associated
6086,Host_Associated
5692,Host_Associated
6287,Host_Associated
5824,Host_Associated
5773,Host_Associated
5763,Host_Associated
5745,Host_Associated
5706,Host_Associated
5999,Host_Associated
6199,Host_Associated
6014,Host_Associated
6129,Host_Associated
6013,Host_Associated
6135,Host_Associated
6284,Host_Associated
6080,Host_Associated
5919,Host_Associated
5772,Host_Associated
5792,Host_Associated
6091,Host_Associated
5939,Host_Associated
6128,Host_Associated
6131,Host_Associated
5675,Host_Associated
5672,Host_Associated
6352,Host_Associated
6160,Host_Associated
6153,Host_Associated
5811,Host_Associated
5732,Host_Associated
6076,Host_Associated
5940,Host_Associated
5776,Host_Associated
6343,Host_Associated
5748,Host_Associated
5772,Host_Associated
5659,Host_Associated
5626,Host_Associated
5692,Host_Associated
5756,Host_Associated
6442,Host_Associated
5855,Host_Associated
5689,Host_Associated
5653,Host_Associated
5827,Host_Associated
6034,Host_Associated
5789,Host_Associated
5889,Host_Associated
5791,Host_Associated
5982,Host_Associated
6185,Host_Associated
5959,Host_Associated
5721,Host_Associated
5743,Host_Associated
6211,Host_Associated
6236,Host_Associated
6465,Host_Associated
6467,Host_Associated
6308,Host_Associated
5737,Host_Associated
5713,Host_Associated
6101,Host_Associated
5678,Host_Associated
5696,Host_Associated
5702,Host_Associated
5737,Host_Associated
6101,Host_Associated
5669,Host_Associated
5809,Host_Associated
5937,Host_Associated
5930,Host_Associated
5902,Host_Associated
5746,Host_Associated
5993,Host_Associated
6463,Host_Associated
6532,Host_Associated
6983,Host_Associated
6509,Host_Associated
6402,Host_Associated
6457,Host_Associated
6763,Host_Associated
6430,Host_Associated
6324,Host_Associated
6190,Host_Associated
6326,Host_Associated
6121,Host_Associated
6269,Host_Associated
5741,Host_Associated
5724,Host_Associated
6209,Host_Associated
6355,Host_Associated
6234,Host_Associated
6479,Host_Associated
5778,Host_Associated
6176,Host_Associated
5889,Host_Associated
6400,Host_Associated
6109,Host_Associated
5760,Host_Associated
6536,Host_Associated
6769,Host_Associated
6125,Host_Associated
5707,Host_Associated
6421,Host_Associated
6489,Host_Associated
5997,Host_Associated
6078,Host_Associated
6143,Host_Associated
6549,Host_Associated
6653,Host_Associated
6356,Host_Associated
5755,Host_Associated
6382,Host_Associated
6403,Host_Associated
6555,Host_Associated
6486,Host_Associated
6512,Host_Associated
6570,Host_Associated
6478,Host_Associated
6365,Host_Associated
6301,Host_Associated
6298,Host_Associated
6305,Host_Associated
6075,Host_Associated
6545,Host_Associated
6292,Host_Associated
6392,Host_Associated
6797,Host_Associated
6377,Host_Associated
6462,Host_Associated
6269,Host_Associated
6719,Host_Associated
5992,Host_Associated
6425,Host_Associated
5877,Host_Associated
5882,Host_Associated
6710,Host_Associated
6049,Host_Associated
6563,Host_Associated
6270,Host_Associated
6338,Host_Associated
6182,Host_Associated
6162,Host_Associated
6105,Host_Associated
5735,Host_Associated
6296,Host_Associated
6485,Host_Associated
5800,Host_Associated
5659,Host_Associated
6343,Host_Associated
6228,Host_Associated
5900,Host_Associated
5739,Host_Associated
5882,Host_Associated
6550,Host_Associated
5894,Host_Associated
6058,Host_Associated
6261,Host_Associated
5786,Host_Associated
5920,Host_Associated
5984,Host_Associated
5913,Host_Associated
6231,Host_Associated
6359,Host_Associated
6350,Host_Associated
5725,Host_Associated
6132,Host_Associated
5752,Host_Associated
5809,Host_Associated
6116,Host_Associated
6543,Host_Associated
5713,Host_Associated
6364,Host_Associated
6405,Host_Associated
5749,Host_Associated
6434,Host_Associated
6349,Host_Associated
6213,Host_Associated
5676,Host_Associated
6298,Host_Associated
6253,Host_Associated
6063,Host_Associated
6623,Host_Associated
6164,Host_Associated
5752,Host_Associated
5900,Host_Associated
6444,Host_Associated
6313,Host_Associated
6339,Host_Associated
6435,Host_Associated
5661,Host_Associated
5833,Host_Associated
6692,Host_Associated
6524,Host_Associated
5817,Host_Associated
6062,Host_Associated
5761,Host_Associated
6311,Host_Associated
5736,Host_Associated
6389,Host_Associated
6245,Host_Associated
6295,Host_Associated
5837,Host_Associated
6219,Host_Associated
6228,Host_Associated
6018,Host_Associated
6400,Host_Associated
5842,Host_Associated
6190,Host_Associated
6134,Host_Associated
5800,Host_Associated
5915,Host_Associated
6212,Host_Associated
6072,Host_Associated
5844,Host_Associated
6704,Host_Associated
5712,Host_Associated
6086,Host_Associated
6072,Host_Associated
6193,Host_Associated
6102,Host_Associated
6433,Host_Associated
6006,Host_Associated
6077,Host_Associated
5610,Host_Associated
6372,Host_Associated
6130,Host_Associated
6293,Host_Associated
6427,Host_Associated
6671,Host_Associated
6927,Host_Associated
5886,Host_Associated
6583,Host_Associated
5811,Host_Associated
6241,Host_Associated
6198,Host_Associated
6333,Host_Associated
6474,Host_Associated
6325,Host_Associated
5886,Host_Associated
6602,Host_Associated
5823,Host_Associated
6745,Host_Associated
5902,Host_Associated
5796,Host_Associated
6471,Host_Associated
5814,Host_Associated
6910,Host_Associated
6609,Host_Associated
5700,Host_Associated
6218,Host_Associated
6285,Host_Associated
5920,Host_Associated
5770,Host_Associated
6046,Host_Associated
6222,Host_Associated
5956,Host_Associated
6083,Host_Associated
6512,Host_Associated
6292,Host_Associated
6373,Host_Associated
6265,Host_Associated
6241,Host_Associated
6608,Host_Associated
5635,Host_Associated
6173,Host_Associated
6016,Host_Associated
5994,Host_Associated
6301,Host_Associated
6568,Host_Associated
5822,Host_Associated
6330,Host_Associated
6318,Host_Associated
6036,Host_Associated
6133,Host_Associated
6174,Host_Associated
5850,Host_Associated
5892,Host_Associated
6362,Host_Associated
6307,Host_Associated
6222,Host_Associated
5710,Host_Associated
6419,Host_Associated
5946,Host_Associated
6290,Host_Associated
6365,Host_Associated
6156,Host_Associated
5729,Host_Associated
6453,Host_Associated
6325,Host_Associated
6588,Host_Associated
5951,Host_Associated
6527,Host_Associated
6173,Host_Associated
6541,Host_Associated
6146,Host_Associated
5657,Host_Associated
6226,Host_Associated
6519,Host_Associated
6129,Host_Associated
5863,Host_Associated
6326,Host_Associated
6338,Host_Associated
5583,Host_Associated
5769,Host_Associated
6385,Host_Associated
6220,Host_Associated
6046,Host_Associated
6030,Host_Associated
5918,Host_Associated
6429,Host_Associated
5845,Host_Associated
5634,Host_Associated
6079,Host_Associated
6805,Host_Associated
6124,Host_Associated
6334,Host_Associated
5673,Host_Associated
6219,Host_Associated
5421,Host_Associated
5775,Host_Associated
5436,Host_Associated
5750,Host_Associated
6539,Host_Associated
6306,Host_Associated
6324,Host_Associated
6144,Host_Associated
6629,Host_Associated
6512,Host_Associated
6630,Host_Associated
5629,Host_Associated
5855,Host_Associated
5897,Host_Associated
6579,Host_Associated
5718,Host_Associated
5712,Host_Associated
5720,Host_Associated
5723,Host_Associated
5709,Host_Associated
5993,Host_Associated
5655,Host_Associated
5900,Host_Associated
6355,Host_Associated
6086,Host_Associated
6140,Host_Associated
6019,Host_Associated
5762,Host_Associated
5839,Host_Associated
6578,Host_Associated
6592,Host_Associated
5833,Host_Associated
6580,Host_Associated
5685,Host_Associated
5948,Host_Associated
6144,Host_Associated
6421,Host_Associated
6164,Host_Associated
6332,Host_Associated
6527,Host_Associated
6125,Host_Associated
5795,Host_Associated
5793,Host_Associated
6324,Host_Associated
6824,Host_Associated
6269,Host_Associated
6288,Host_Associated
6718,Host_Associated
6421,Host_Associated
7111,Host_Associated
6813,Host_Associated
6244,Host_Associated
5667,Host_Associated
6108,Host_Associated
6395,Host_Associated
6113,Host_Associated
6116,Host_Associated
6531,Host_Associated
5795,Host_Associated
6049,Host_Associated
6587,Host_Associated
6593,Host_Associated
5979,Host_Associated
5962,Host_Associated
5911,Host_Associated
6405,Host_Associated
6060,Host_Associated
6218,Host_Associated
5912,Host_Associated
6236,Host_Associated
6400,Host_Associated
5736,Host_Associated
5723,Host_Associated
6318,Host_Associated
6133,Host_Associated
6189,Host_Associated
6191,Host_Associated
6173,Host_Associated
6174,Host_Associated
6365,Host_Associated
6459,Host_Associated
6434,Host_Associated
6378,Host_Associated
6556,Host_Associated
6544,Host_Associated
6535,Host_Associated
6084,Host_Associated
6304,Host_Associated
6695,Host_Associated
6266,Host_Associated
5632,Host_Associated
5786,Host_Associated
6492,Host_Associated
6164,Host_Associated
5661,Host_Associated
5735,Host_Associated
5946,Host_Associated
6074,Host_Associated
5946,Host_Associated
5699,Host_Associated
5816,Host_Associated
5761,Host_Associated
5992,Host_Associated
6232,Host_Associated
6211,Host_Associated
6205,Host_Associated
5941,Host_Associated
5951,Host_Associated
5965,Host_Associated
5964,Host_Associated
5954,Host_Associated
5947,Host_Associated
5974,Host_Associated
5949,Host_Associated
5955,Host_Associated
5949,Host_Associated
5961,Host_Associated
5944,Host_Associated
5946,Host_Associated
5952,Host_Associated
5945,Host_Associated
5947,Host_Associated
5942,Host_Associated
5946,Host_Associated
5949,Host_Associated
5995,Host_Associated
6048,Host_Associated
6030,Host_Associated
6514,Host_Associated
6192,Host_Associated
6345,Host_Associated
6163,Host_Associated
5971,Host_Associated
5974,Host_Associated
5904,Host_Associated
5949,Host_Associated
5985,Host_Associated
5986,Host_Associated
5938,Host_Associated
5697,Host_Associated
5923,Host_Associated
5994,Host_Associated
5977,Host_Associated
5963,Host_Associated
6205,Host_Associated
5777,Host_Associated
5713,Host_Associated
6779,Host_Associated
5920,Host_Associated
5767,Host_Associated
5804,Host_Associated
6130,Host_Associated
5877,Host_Associated
6733,Host_Associated
6738,Host_Associated
6698,Host_Associated
6649,Host_Associated
6736,Host_Associated
6739,Host_Associated
6732,Host_Associated
6730,Host_Associated
6733,Host_Associated
6740,Host_Associated
6662,Host_Associated
6601,Host_Associated
6587,Host_Associated
6473,Host_Associated
6338,Host_Associated
5771,Host_Associated
6102,Host_Associated
6162,Host_Associated
6381,Host_Associated
5662,Host_Associated
5362,Host_Associated
5951,Host_Associated
5813,Host_Associated
5841,Host_Associated
5946,Host_Associated
5693,Host_Associated
6267,Host_Associated
5771,Host_Associated
6241,Host_Associated
5725,Host_Associated
5930,Host_Associated
5707,Host_Associated
5681,Host_Associated
5738,Host_Associated
5789,Host_Associated
5797,Host_Associated
6045,Host_Associated
5783,Host_Associated
6482,Host_Associated
6553,Host_Associated
6489,Host_Associated
6138,Host_Associated
6293,Host_Associated
5910,Host_Associated
5813,Host_Associated
5817,Host_Associated
5854,Host_Associated
5869,Host_Associated
5897,Host_Associated
6281,Host_Associated
5924,Host_Associated
6608,Host_Associated
6230,Host_Associated
5689,Host_Associated
5731,Host_Associated
6598,Host_Associated
6207,Host_Associated
5755,Host_Associated
5742,Host_Associated
6341,Host_Associated
6148,Host_Associated
5861,Host_Associated
6285,Host_Associated
6164,Host_Associated
5737,Host_Associated
6048,Host_Associated
5805,Host_Associated
5925,Host_Associated
5789,Host_Associated
5811,Host_Associated
5735,Host_Associated
6047,Host_Associated
5695,Host_Associated
6032,Host_Associated
6066,Host_Associated
6029,Host_Associated
6029,Host_Associated
6070,Host_Associated
6079,Host_Associated
6065,Host_Associated
6426,Host_Associated
6105,Host_Associated
6192,Host_Associated
6267,Host_Associated
6589,Host_Associated
6271,Host_Associated
6359,Host_Associated
6066,Host_Associated
5898,Host_Associated
6512,Host_Associated
5790,Host_Associated
6245,Host_Associated
6244,Host_Associated
5855,Host_Associated
6459,Host_Associated
6607,Host_Associated
5731,Host_Associated
6210,Host_Associated
5710,Host_Associated
6805,Host_Associated
6705,Host_Associated
6158,Host_Associated
6218,Host_Associated
6557,Host_Associated
6376,Host_Associated
6081,Host_Associated
6379,Host_Associated
5745,Host_Associated
6319,Host_Associated
6145,Host_Associated
6134,Host_Associated
6505,Host_Associated
6619,Host_Associated
6611,Host_Associated
6609,Host_Associated
5771,Host_Associated
6303,Host_Associated
6289,Host_Associated
6611,Host_Associated
6645,Host_Associated
6321,Host_Associated
5700,Host_Associated
6708,Host_Associated
6055,Host_Associated
6269,Host_Associated
6222,Host_Associated
5668,Host_Associated
5792,Host_Associated
6730,Host_Associated
6264,Host_Associated
6256,Host_Associated
5810,Host_Associated
6392,Host_Associated
6622,Host_Associated
6035,Host_Associated
5685,Host_Associated
6727,Host_Associated
5585,Host_Associated
6271,Host_Associated
6195,Host_Associated
5837,Host_Associated
5951,Host_Associated
6233,Host_Associated
5842,Host_Associated
6266,Host_Associated
6001,Host_Associated
5953,Host_Associated
5872,Host_Associated
5931,Host_Associated
5823,Host_Associated
5715,Host_Associated
6237,Host_Associated
5980,Host_Associated
6446,Host_Associated
6158,Host_Associated
5780,Host_Associated
6418,Host_Associated
5941,Host_Associated
6153,Host_Associated
6040,Host_Associated
6391,Host_Associated
6247,Host_Associated
6063,Host_Associated
6217,Host_Associated
6440,Host_Associated
6204,Host_Associated
6856,Host_Associated
5833,Host_Associated
6285,Host_Associated
6258,Host_Associated
5981,Host_Associated
5846,Host_Associated
6264,Host_Associated
6306,Host_Associated
5820,Host_Associated
6133,Host_Associated
5942,Host_Associated
6028,Host_Associated
6164,Host_Associated
5790,Host_Associated
6380,Host_Associated
6482,Host_Associated
6390,Host_Associated
6665,Host_Associated
6197,Host_Associated
6217,Host_Associated
6203,Host_Associated
6188,Host_Associated
6145,Host_Associated
6368,Host_Associated
5941,Host_Associated
6396,Host_Associated
6209,Host_Associated
5832,Host_Associated
5842,Host_Associated
6165,Host_Associated
6212,Host_Associated
5821,Host_Associated
5914,Host_Associated
5742,Host_Associated
5804,Host_Associated
5857,Host_Associated
5863,Host_Associated
5785,Host_Associated
6210,Host_Associated
5942,Host_Associated
5949,Host_Associated
5753,Host_Associated
5746,Host_Associated
5750,Host_Associated
5735,Host_Associated
6029,Host_Associated
5943,Host_Associated
6029,Host_Associated
5948,Host_Associated
5792,Host_Associated
5757,Host_Associated
6043,Host_Associated
6037,Host_Associated
5942,Host_Associated
6112,Host_Associated
6106,Host_Associated
5794,Host_Associated
6207,Host_Associated
6067,Host_Associated
6076,Host_Associated
6073,Host_Associated
6169,Host_Associated
6075,Host_Associated
5947,Host_Associated
5879,Host_Associated
5934,Host_Associated
5934,Host_Associated
5954,Host_Associated
5931,Host_Associated
5900,Host_Associated
5869,Host_Associated
5889,Host_Associated
5869,Host_Associated
5882,Host_Associated
5866,Host_Associated
5880,Host_Associated
5885,Host_Associated
5884,Host_Associated
5884,Host_Associated
5880,Host_Associated
5870,Host_Associated
5868,Host_Associated
5885,Host_Associated
5890,Host_Associated
5888,Host_Associated
5903,Host_Associated
5899,Host_Associated
5878,Host_Associated
5887,Host_Associated
5894,Host_Associated
5891,Host_Associated
5927,Host_Associated
5902,Host_Associated
5946,Host_Associated
5944,Host_Associated
5924,Host_Associated
5887,Host_Associated
5877,Host_Associated
5887,Host_Associated
5888,Host_Associated
5892,Host_Associated
5897,Host_Associated
5900,Host_Associated
5892,Host_Associated
5896,Host_Associated
5890,Host_Associated
5869,Host_Associated
5883,Host_Associated
5883,Host_Associated
5871,Host_Associated
5875,Host_Associated
5883,Host_Associated
5889,Host_Associated
5886,Host_Associated
5878,Host_Associated
5892,Host_Associated
5872,Host_Associated
5871,Host_Associated
5895,Host_Associated
5888,Host_Associated
5889,Host_Associated
5888,Host_Associated
5875,Host_Associated
5874,Host_Associated
5879,Host_Associated
5880,Host_Associated
5894,Host_Associated
5885,Host_Associated
5876,Host_Associated
5858,Host_Associated
5896,Host_Associated
5880,Host_Associated
5878,Host_Associated
5886,Host_Associated
5883,Host_Associated
5845,Host_Associated
5886,Host_Associated
5885,Host_Associated
5870,Host_Associated
5879,Host_Associated
5880,Host_Associated
5899,Host_Associated
5874,Host_Associated
5891,Host_Associated
5933,Host_Associated
6026,Host_Associated
5912,Host_Associated
6344,Host_Associated
6222,Host_Associated
5671,Host_Associated
5795,Host_Associated
5502,Host_Associated
5857,Host_Associated
6288,Host_Associated
6375,Host_Associated
6057,Host_Associated
6151,Host_Associated
6161,Host_Associated
6379,Host_Associated
6437,Host_Associated
6166,Host_Associated
6317,Host_Associated
6319,Host_Associated
6262,Host_Associated
6278,Host_Associated
6301,Host_Associated
6264,Host_Associated
6299,Host_Associated
6274,Host_Associated
6426,Host_Associated
6161,Host_Associated
5977,Host_Associated
5974,Host_Associated
6161,Host_Associated
6122,Host_Associated
6023,Host_Associated
5790,Host_Associated
6223,Host_Associated
6326,Host_Associated
6156,Host_Associated
5762,Host_Associated
5809,Host_Associated
6425,Host_Associated
6680,Host_Associated
6393,Host_Associated
6578,Host_Associated
6478,Host_Associated
6394,Host_Associated
6546,Host_Associated
6148,Host_Associated
6179,Host_Associated
6832,Host_Associated
6511,Host_Associated
6406,Host_Associated
6417,Host_Associated
5836,Host_Associated
6592,Host_Associated
6328,Host_Associated
6514,Host_Associated
6457,Host_Associated
6512,Host_Associated
6545,Host_Associated
6512,Host_Associated
6369,Host_Associated
6385,Host_Associated
6488,Host_Associated
6619,Host_Associated
7434,Host_Associated
6392,Host_Associated
6488,Host_Associated
6630,Host_Associated
6314,Host_Associated
6319,Host_Associated
6551,Host_Associated
6424,Host_Associated
6328,Host_Associated
6392,Host_Associated
6680,Host_Associated
6337,Host_Associated
6607,Host_Associated
6397,Host_Associated
6034,Host_Associated
6078,Host_Associated
6089,Host_Associated
5910,Host_Associated
5883,Host_Associated
5885,Host_Associated
6175,Host_Associated
6153,Host_Associated
6233,Host_Associated
5770,Host_Associated
5708,Host_Associated
5682,Host_Associated
5916,Host_Associated
5928,Host_Associated
5967,Host_Associated
6626,Host_Associated
6469,Host_Associated
6392,Host_Associated
6471,Host_Associated
6292,Host_Associated
6093,Host_Associated
6103,Host_Associated
6108,Host_Associated
6101,Host_Associated
6105,Host_Associated
6073,Host_Associated
5985,Host_Associated
6106,Host_Associated
6082,Host_Associated
6094,Host_Associated
6094,Host_Associated
6130,Host_Associated
6078,Host_Associated
6081,Host_Associated
6073,Host_Associated
6075,Host_Associated
6101,Host_Associated
6113,Host_Associated
6107,Host_Associated
6087,Host_Associated
6085,Host_Associated
6078,Host_Associated
6324,Host_Associated
6302,Host_Associated
6462,Host_Associated
6340,Host_Associated
5958,Host_Associated
5941,Host_Associated
6256,Host_Associated
6044,Host_Associated
6097,Host_Associated
6607,Host_Associated
5828,Host_Associated
5798,Host_Associated
5840,Host_Associated
5843,Host_Associated
6382,Host_Associated
6130,Host_Associated
6679,Host_Associated
6523,Host_Associated
6772,Host_Associated
5765,Host_Associated
6239,Host_Associated
5835,Host_Associated
5840,Host_Associated
5846,Host_Associated
5791,Host_Associated
6520,Host_Associated
6384,Host_Associated
7056,Host_Associated
5847,Host_Associated
5813,Host_Associated
6215,Host_Associated
6142,Host_Associated
6265,Host_Associated
6243,Host_Associated
5854,Host_Associated
5776,Host_Associated
6410,Host_Associated
5547,Host_Associated
5690,Host_Associated
6159,Host_Associated
6536,Host_Associated
6974,Host_Associated
6395,Host_Associated
6486,Host_Associated
6554,Host_Associated
6298,Host_Associated
6501,Host_Associated
5858,Host_Associated
5823,Host_Associated
6225,Host_Associated
6398,Host_Associated
6540,Host_Associated
6385,Host_Associated
5954,Host_Associated
5999,Host_Associated
5591,Host_Associated
5826,Host_Associated
5802,Host_Associated
5801,Host_Associated
5849,Host_Associated
6399,Host_Associated
6538,Host_Associated
6227,Host_Associated
6396,Host_Associated
6362,Host_Associated
5462,Host_Associated
5512,Host_Associated
5837,Host_Associated
6100,Host_Associated
4400,Host_Associated
4324,Host_Associated
4398,Host_Associated
4401,Host_Associated
4398,Host_Associated
4400,Host_Associated
4461,Host_Associated
4467,Host_Associated
4978,Host_Associated
4410,Host_Associated
5784,Host_Associated
5675,Host_Associated
4317,Host_Associated
4196,Host_Associated
6214,Host_Associated
5790,Host_Associated
5955,Host_Associated
5915,Host_Associated
5400,Host_Associated
5351,Host_Associated
5897,Host_Associated
5322,Host_Associated
5737,Host_Associated
5730,Host_Associated
